job_title,job_description,location,city,state,zip_code,apply_url,company_name,companydescription,uniq_id,crawl_timestamp,job_board,job_id,department,requirements,benefits,telecommuting,has_company_logo,has_questions,function,fraudulent,job_type,Full Time,I.T
93,10380,2324,0,0,0,0,0,0,0,0,0,16847,1295,4459,4080,0,1,1,12,1,0,0,0
2397,6471,1249,0,0,0,0,0,0,0,0,0,17643,1283,5631,73,1,1,1,0,1,0,0,0
2121,597,2850,0,0,0,0,0,0,0,0,0,6688,1054,2584,1099,0,0,1,18,1,0,0,0
6474,10935,625,0,0,0,0,0,0,0,0,0,17771,1054,9893,4080,0,0,0,18,1,0,0,0
7001,7808,1487,0,0,0,0,0,0,0,0,0,17518,1054,9893,4080,0,0,0,18,1,0,0,0
5865,3119,2875,0,0,0,0,0,0,0,0,0,4354,434,6577,5183,0,0,0,12,1,0,0,0
7325,3106,2875,0,0,0,0,0,0,0,0,0,1821,1054,6602,5260,0,1,0,12,1,0,0,0
7107,12038,2697,0,0,0,0,0,0,0,0,0,5513,1054,7826,4518,0,0,0,18,1,0,0,0
7351,12036,1412,0,0,0,0,0,0,0,0,0,5567,849,6786,127,0,1,1,23,1,0,0,0
2307,10923,2270,0,0,0,0,0,0,0,0,0,11766,1054,8445,5400,0,1,1,5,1,0,0,0
5343,14527,1573,0,0,0,0,0,0,0,0,0,5073,442,7168,4061,0,0,1,12,1,0,0,0
6441,1699,2359,0,0,0,0,0,0,0,0,0,17602,1054,1558,3825,0,0,0,22,1,0,0,0
2877,3643,2528,0,0,0,0,0,0,0,0,0,2433,434,7801,5710,0,1,1,12,1,0,0,0
7633,3112,2875,0,0,0,0,0,0,0,0,0,6575,964,6582,5253,0,0,0,26,1,0,0,0
11045,13676,38,0,0,0,0,0,0,0,0,0,17329,1054,5824,5950,0,0,0,18,1,0,0,0
6626,4003,2875,0,0,0,0,0,0,0,0,0,5016,413,7646,4080,0,0,0,12,1,0,0,0
6583,625,1487,0,0,0,0,0,0,0,0,0,17747,80,3518,1945,0,0,0,1,1,0,0,0
10599,4899,1172,0,0,0,0,0,0,0,0,0,3274,652,8307,4080,0,0,1,18,1,0,0,0
218,835,2875,0,0,0,0,0,0,0,0,0,17825,1054,6311,5901,0,0,0,1,1,0,0,0
10632,11583,2834,0,0,0,0,0,0,0,0,0,6521,470,35,2363,0,1,1,7,1,0,0,0
10618,12384,916,0,0,0,0,0,0,0,0,0,17688,1246,2391,5996,0,0,0,3,1,0,0,0
2427,10104,2672,0,0,0,0,0,0,0,0,0,17589,1054,2518,974,0,0,0,8,1,0,0,0
3631,5356,2662,0,0,0,0,0,0,0,0,0,6557,1054,7961,5104,0,0,0,31,1,0,0,0
475,2967,1485,0,0,0,0,0,0,0,0,0,15928,1054,9893,974,0,0,0,0,1,0,0,0
1982,11338,2165,0,0,0,0,0,0,0,0,0,5442,293,6005,1134,0,1,1,12,1,0,0,0
7107,12038,2021,0,0,0,0,0,0,0,0,0,5510,1054,7826,4518,0,0,0,18,1,0,0,0
10274,9683,2861,0,0,0,0,0,0,0,0,0,17557,745,4650,6021,0,0,1,23,1,0,0,0
3631,5356,2662,0,0,0,0,0,0,0,0,0,6557,1054,7961,5104,0,0,0,31,1,0,0,0
10605,4904,83,0,0,0,0,0,0,0,0,0,4772,652,8543,4080,0,0,1,18,1,0,0,0
3344,4386,1648,0,0,0,0,0,0,0,0,0,17728,349,8160,4080,1,0,0,1,1,0,0,0
6595,13028,1579,0,0,0,0,0,0,0,0,0,11764,322,9893,4080,0,1,0,17,1,0,0,0
9925,14501,2875,0,0,0,0,0,0,0,0,0,6880,434,2921,4080,0,0,1,18,1,0,0,0
9904,3122,2875,0,0,0,0,0,0,0,0,0,4349,434,6611,5184,0,0,0,12,1,0,0,0
7650,12502,2119,0,0,0,0,0,0,0,0,0,9756,1054,11555,677,0,0,0,18,1,0,0,0
1711,612,2667,0,0,0,0,0,0,0,0,0,4593,1054,10742,1456,0,1,1,27,1,0,0,0
4456,12038,440,0,0,0,0,0,0,0,0,0,5495,1054,7826,4516,0,0,0,18,1,0,0,0
7506,565,2815,0,0,0,0,0,0,0,0,0,12104,1054,2436,4080,0,0,0,18,1,0,0,0
7107,12038,2697,0,0,0,0,0,0,0,0,0,5513,1054,7826,4518,0,0,0,18,1,0,0,0
6441,1699,1396,0,0,0,0,0,0,0,0,0,17746,1054,1558,3826,0,0,0,18,1,0,0,0
2803,8633,1573,0,0,0,0,0,0,0,0,0,11572,434,8446,5476,0,1,1,12,1,0,0,0
4759,3120,2875,0,0,0,0,0,0,0,0,0,2075,1054,6584,4080,0,1,0,12,1,0,0,0
7484,7207,2875,0,0,0,0,0,0,0,0,0,7570,1054,11627,5970,0,1,1,21,1,0,0,0
10536,8398,1413,0,0,0,0,0,0,0,0,0,5838,850,7948,1632,0,1,1,23,1,0,0,0
3526,1,1249,0,0,0,0,0,0,0,0,0,5166,1054,5063,4080,0,0,1,18,1,0,0,0
10608,9139,1564,0,0,0,0,0,0,0,0,0,17511,1054,6362,2741,0,0,1,18,1,0,0,0
6587,2427,1808,0,0,0,0,0,0,0,0,0,17796,1054,8688,2590,0,0,0,1,1,0,0,0
8514,2461,1650,0,0,0,0,0,0,0,0,0,7944,1054,4336,5358,1,1,0,31,1,0,0,0
2434,13095,1829,0,0,0,0,0,0,0,0,0,17713,1054,4444,4080,1,0,0,1,1,0,0,0
4457,13319,1869,0,0,0,0,0,0,0,0,0,17795,243,2372,545,0,0,0,18,1,0,0,0
7918,12927,1564,0,0,0,0,0,0,0,0,0,10953,1002,747,503,0,1,1,17,1,0,0,0
7825,4427,1821,0,0,0,0,0,0,0,0,0,8573,1319,9893,4080,0,0,0,18,1,0,0,0
355,13287,2560,0,0,0,0,0,0,0,0,0,3615,1054,3656,4875,0,1,0,31,1,0,0,0
4131,4862,38,0,0,0,0,0,0,0,0,0,13459,1054,5821,4665,0,0,0,18,1,0,0,0
5,5852,2875,0,0,0,0,0,0,0,0,0,6974,1054,8503,4080,0,0,0,26,1,0,0,0
8503,505,2094,0,0,0,0,0,0,0,0,0,11672,1073,4767,348,0,1,0,31,1,0,0,0
4457,13319,1343,0,0,0,0,0,0,0,0,0,3194,243,2372,545,0,0,0,18,1,0,0,0
10784,9160,2834,0,0,0,0,0,0,0,0,0,6518,1258,5115,444,0,1,1,10,1,0,0,0
10537,14678,1412,0,0,0,0,0,0,0,0,0,11757,1054,7949,1633,0,1,1,23,1,0,0,0
3709,14271,1702,0,0,0,0,0,0,0,0,0,17727,1054,7719,4080,0,0,0,1,1,0,0,0
1645,2799,1579,0,0,0,0,0,0,0,0,0,9841,253,2354,3328,0,1,1,18,1,0,0,0
6591,13095,1650,0,0,0,0,0,0,0,0,0,7661,1054,4444,4080,1,0,0,1,1,0,0,0
450,1258,1249,0,0,0,0,0,0,0,0,0,17692,28,6559,2601,0,0,0,1,1,0,0,0
4562,4944,2826,0,0,0,0,0,0,0,0,0,4668,567,11654,443,0,1,1,17,1,0,0,0
7105,7832,2092,0,0,0,0,0,0,0,0,0,8647,67,7458,4080,0,1,0,13,1,0,0,0
7132,4898,0,0,0,0,0,0,0,0,0,0,17521,652,8324,4080,0,0,1,18,1,0,0,0
2432,832,2358,0,0,0,0,0,0,0,0,0,17791,1054,9893,4080,0,0,0,18,1,0,0,0
10000,2459,2834,0,0,0,0,0,0,0,0,0,2897,325,4334,5349,1,1,0,7,1,0,0,0
2434,2653,1248,0,0,0,0,0,0,0,0,0,2930,568,9893,4843,0,0,0,1,1,0,0,0
3895,1280,2305,0,0,0,0,0,0,0,0,0,17682,1054,7628,5902,1,0,0,18,1,0,0,0
4457,13319,1403,0,0,0,0,0,0,0,0,0,5526,243,2372,545,0,0,0,18,1,0,0,0
8509,1312,1505,0,0,0,0,0,0,0,0,0,5353,1326,7344,6082,0,0,0,18,1,0,0,0
8975,1480,1248,0,0,0,0,0,0,0,0,0,7411,1054,9893,4080,0,0,0,18,1,0,0,0
